ticker,growth_rate,wacc,implied_price,upside_pct
AEHR,0.04,0.11,1.93,-98.1
AEHR,0.04,0.12,1.72,-98.3
AEHR,0.075,0.08,3.47,-96.5
AEHR,0.075,0.09,2.93,-97.1
AEHR,0.075,0.1,2.53,-97.5
AEHR,0.075,0.11,2.22,-97.8
AEHR,0.075,0.12,1.98,-98.0
AEHR,0.10999999999999999,0.08,4.02,-96.0
AEHR,0.10999999999999999,0.09,3.38,-96.6
AEHR,0.10999999999999999,0.1,2.92,-97.1
AEHR,0.10999999999999999,0.11,2.56,-97.4
AEHR,0.10999999999999999,0.12,2.28,-97.7
AEHR,0.145,0.08,4.64,-95.3
AEHR,0.145,0.09,3.9,-96.1
AEHR,0.145,0.1,3.35,-96.6
AEHR,0.145,0.11,2.94,-97.0
AEHR,0.145,0.12,2.61,-97.4
AEHR,0.18,0.08,5.34,-94.6
AEHR,0.18,0.09,4.47,-95.5
AEHR,0.18,0.1,3.84,-96.1
AEHR,0.18,0.11,3.36,-96.6
AEHR,0.18,0.12,2.98,-97.0
AFX.DE,0.04,0.08,36.61,47.2
AFX.DE,0.04,0.09,30.95,24.4
AFX.DE,0.04,0.1,26.79,7.7
AFX.DE,0.04,0.11,23.61,-5.1
AFX.DE,0.04,0.12,21.11,-15.2
AFX.DE,0.075,0.08,42.57,71.1
AFX.DE,0.075,0.09,35.89,44.3
AFX.DE,0.075,0.1,31.0,24.6
AFX.DE,0.075,0.11,27.26,9.6
AFX.DE,0.075,0.12,24.32,-2.3
AFX.DE,0.10999999999999999,0.08,49.31,98.2
AFX.DE,0.10999999999999999,0.09,41.49,66.7
AFX.DE,0.10999999999999999,0.1,35.76,43.7
AFX.DE,0.10999999999999999,0.11,31.38,26.1
AFX.DE,0.10999999999999999,0.12,27.93,12.3
AFX.DE,0.145,0.08,56.92,128.8
AFX.DE,0.145,0.09,47.79,92.1
AFX.DE,0.145,0.1,41.11,65.2
AFX.DE,0.145,0.11,36.01,44.7
AFX.DE,0.145,0.12,32.0,28.6
AFX.DE,0.18,0.08,65.47,163.1
AFX.DE,0.18,0.09,54.88,120.6
AFX.DE,0.18,0.1,47.12,89.4
AFX.DE,0.18,0.11,41.21,65.6
AFX.DE,0.18,0.12,36.55,46.9
AIR.PA,0.04,0.08,171.18,2.1
AIR.PA,0.04,0.09,144.69,-13.7
AIR.PA,0.04,0.1,125.26,-25.3
AIR.PA,0.04,0.11,110.41,-34.2
AIR.PA,0.04,0.12,98.69,-41.1
AIR.PA,0.075,0.08,199.03,18.7
AIR.PA,0.075,0.09,167.81,0.1
AIR.PA,0.075,0.1,144.94,-13.6
AIR.PA,0.075,0.11,127.47,-24.0
AIR.PA,0.075,0.12,113.69,-32.2
AIR.PA,0.10999999999999999,0.08,230.55,37.5
AIR.PA,0.10999999999999999,0.09,193.97,15.7
AIR.PA,0.10999999999999999,0.1,167.18,-0.3
AIR.PA,0.10999999999999999,0.11,146.72,-12.5
AIR.PA,0.10999999999999999,0.12,130.6,-22.1
AIR.PA,0.145,0.08,266.11,58.7
AIR.PA,0.145,0.09,223.45,33.3
AIR.PA,0.145,0.1,192.22,14.6
AIR.PA,0.145,0.11,168.38,0.4
AIR.PA,0.145,0.12,149.6,-10.8
AIR.PA,0.18,0.08,306.11,82.6
AIR.PA,0.18,0.09,256.57,53.0
AIR.PA,0.18,0.1,220.33,31.4
AIR.PA,0.18,0.11,192.67,14.9
AIR.PA,0.18,0.12,170.9,1.9
AIXA.DE,0.04,0.08,24.86,-52.2
AIXA.DE,0.04,0.09,21.01,-59.6
AIXA.DE,0.04,0.1,18.19,-65.0
AIXA.DE,0.04,0.11,16.03,-69.2
AIXA.DE,0.04,0.12,14.33,-72.4
AIXA.DE,0.075,0.08,28.9,-44.4
AIXA.DE,0.075,0.09,24.37,-53.1
AIXA.DE,0.075,0.1,21.05,-59.5
AIXA.DE,0.075,0.11,18.51,-64.4
AIXA.DE,0.075,0.12,16.51,-68.2
AIXA.DE,0.10999999999999999,0.08,33.48,-35.6
AIXA.DE,0.10999999999999999,0.09,28.17,-45.8
AIXA.DE,0.10999999999999999,0.1,24.28,-53.3
AIXA.DE,0.10999999999999999,0.11,21.31,-59.0
AIXA.DE,0.10999999999999999,0.12,18.96,-63.5
AIXA.DE,0.145,0.08,38.64,-25.7
AIXA.DE,0.145,0.09,32.45,-37.6
AIXA.DE,0.145,0.1,27.91,-46.3
AIXA.DE,0.145,0.11,24.45,-53.0
AIXA.DE,0.145,0.12,21.72,-58.2
AIXA.DE,0.18,0.08,44.45,-14.5
AIXA.DE,0.18,0.09,37.26,-28.3
AIXA.DE,0.18,0.1,31.99,-38.4
AIXA.DE,0.18,0.11,27.98,-46.2
AIXA.DE,0.18,0.12,24.82,-52.3
ALAB,0.04,0.08,83.12,-64.3
ALAB,0.04,0.09,70.26,-69.8
ALAB,0.04,0.1,60.82,-73.9
ALAB,0.04,0.11,53.61,-77.0
ALAB,0.04,0.12,47.92,-79.4
ALAB,0.075,0.08,96.64,-58.5
ALAB,0.075,0.09,81.49,-65.0
ALAB,0.075,0.1,70.38,-69.8
ALAB,0.075,0.11,61.9,-73.4
ALAB,0.075,0.12,55.2,-76.3
ALAB,0.10999999999999999,0.08,111.95,-51.9
ALAB,0.10999999999999999,0.09,94.19,-59.5
ALAB,0.10999999999999999,0.1,81.18,-65.1
ALAB,0.10999999999999999,0.11,71.25,-69.4
ALAB,0.10999999999999999,0.12,63.42,-72.7
ALAB,0.145,0.08,129.22,-44.5
ALAB,0.145,0.09,108.5,-53.4
ALAB,0.145,0.1,93.34,-59.9
ALAB,0.145,0.11,81.76,-64.9
ALAB,0.145,0.12,72.64,-68.8
ALAB,0.18,0.08,148.64,-36.1
ALAB,0.18,0.09,124.59,-46.5
ALAB,0.18,0.1,106.99,-54.0
ALAB,0.18,0.11,93.56,-59.8
ALAB,0.18,0.12,82.99,-64.3
ALFA.ST,0.04,0.08,436.66,-18.8
ALFA.ST,0.04,0.09,369.07,-31.3
ALFA.ST,0.04,0.1,319.52,-40.6
ALFA.ST,0.04,0.11,281.64,-47.6
ALFA.ST,0.04,0.12,251.74,-53.2
ALFA.ST,0.075,0.08,507.69,-5.6
ALFA.ST,0.075,0.09,428.07,-20.4
ALFA.ST,0.075,0.1,369.73,-31.2
ALFA.ST,0.075,0.11,325.16,-39.5
ALFA.ST,0.075,0.12,290.0,-46.1
ALFA.ST,0.10999999999999999,0.08,588.1,9.4
ALFA.ST,0.10999999999999999,0.09,494.79,-8.0
ALFA.ST,0.10999999999999999,0.1,426.45,-20.7
