ticker,current_price,median_price,p10,p90,prob_50pct_up,prob_30pct_down,mean_price,std_price
A,111.7,196.2314687791073,158.16939445240556,235.68247590553244,82.95,0.0,196.7683512432569,29.016411680199493
ABT,84.47,181.71575469806268,149.11148102815042,215.7190361628812,99.0,0.0,182.03750688318127,25.771914962402626
ACLS,155.18,138.4304875900774,113.50170409205012,165.31295758059116,0.0,5.7,139.23597693160923,19.956030702781593
ACMR,63.67,67.37535566729687,54.920862132270216,80.71449332391387,0.2,0.4,67.48500716672038,9.780784669905048
ADI,417.49,393.88686271887406,325.9082620028972,471.7742766596393,0.0,2.9499999999999997,396.3211662420815,55.44563977613926
AEHR,99.5,4.453782506209802,3.644571629154885,5.3592003568214395,0.0,100.0,4.483167700132544,0.6476637141420877
AFX.DE,24.88,55.11949787611644,44.48996150901979,65.98735573386865,99.5,0.0,55.238774800643135,8.090576242439036
AIR.PA,167.68,255.58441256419962,210.2339840094433,306.55662251542066,53.5,0.0,257.1220007787222,37.3508202338392
AIXA.DE,51.98,37.00584106458402,30.546244275288448,44.49289133217707,0.0,45.4,37.24334369592793,5.4022089037224434
ALAB,232.68,124.64407496433586,100.72314247968565,149.57731970111263,0.0,97.89999999999999,125.01198737195975,18.25486816364596
ALFA.ST,537.6,655.1731078629757,533.898460653384,777.2789285594674,5.949999999999999,0.0,655.4104066918568,93.26348441649674
ALGN,157.25,369.4644054482129,298.8829836176467,442.4571466664568,99.95,0.0,370.60430703761926,54.521143638187304
ALLE,125.65,284.2602043007301,232.8476611685196,339.3651391669641,99.7,0.0,285.6279381004148,40.849423346861435
AMAT,436.62,474.89310749201155,381.3559933007057,566.945702131124,0.5499999999999999,0.25,474.11844870342054,70.40200034779555
AMD,424.1,385.54331894588506,314.27230023976045,465.72420968296996,0.0,5.1,388.30651636156773,57.631681615445984
AME,227.9,262.7381945502498,215.77999117891662,312.96893611808264,2.3,0.0,263.69109480580084,37.24236318179888
AMGN,326.31,693.1208253962749,568.8911144721169,828.7160230293237,98.65,0.0,698.1556387762429,100.12288647280752
AMKR,70.35,70.85314433481463,57.84176128785657,84.56223794757759,0.0,0.95,71.02850596178222,10.161882603183402
