ticker,company,theme,metric_type,price,mkt_cap,current_metric,current_multiple,bull_cagr,bull_multiple,bull_price,bull_upside,base_cagr,base_multiple,base_price,base_upside,bear_cagr,bear_multiple,bear_price,bear_upside,weighted_price,weighted_upside,bull_prob,base_prob,bear_prob
A,A,Health Tech,Fwd EPS,115.84,32736649216.0,6.55103,17.7x,0.18,28.0,301.3794538428799,160.16872741961316,0.12,22.0,202.48196046848005,74.7945100729282,0.04,15.0,110.53526714880002,-4.579361922651925,204.21966048216,76.29459641070441,0.25,0.5,0.25
ABT,ABT,Health Tech,Fwd EPS,85.68,149238546432.0,6.06115,14.1x,0.18,28.0,278.84257539039993,225.4465165620914,0.12,22.0,187.34054563840002,118.6514304836601,0.04,15.0,102.269541504,19.362209971988786,188.94830204279998,120.52789687535008,0.25,0.5,0.25
ACLS,ACLS,AI infrastructure & compute,Fwd EPS,157.91,4853189632.0,4.636,34.1x,0.18,28.0,213.27869785599998,35.063452508390846,0.12,22.0,143.29141657600005,-9.257541272876924,0.04,15.0,78.22304256,-50.4635282376037,144.521143392,-8.478789568741686,0.25,0.5,0.25
ACMR,ACMR,Quantum / frontier compute,Fwd EPS,88.64,6125864960.0,2.25333,39.3x,0.18,28.0,103.66421230367999,16.949697996028878,0.12,22.0,69.64686102528003,-21.42727772418769,0.04,15.0,38.020346956800005,-57.10700929963899,70.24457032776002,-20.752966687996377,0.25,0.5,0.25
ADI,ADI,AI infrastructure & compute,Fwd EPS,416.88,203056840704.0,14.77333,28.2x,0.18,28.0,679.6455102236799,63.03145035110342,0.12,22.0,456.6202293452801,9.532774262444853,0.04,15.0,249.26980615680003,-40.205861121473795,460.53894376776003,10.472784438629823,0.25,0.5,0.25
AEHR,AEHR,Quantum / frontier compute,Fwd EPS,103.82,3265476864.0,0.15,692.1x,0.18,28.0,6.900734399999999,-93.3531743402042,0.12,22.0,4.636262400000001,-95.53432633403969,0.04,15.0,2.5309440000000003,-97.56218069736082,4.6760508000000005,-95.4960019264111,0.25,0.5,0.25
AFX.DE,AFX.DE,Health Tech,Fwd EPS,25.86,2263683072.0,1.86595,13.9x,0.18,28.0,85.84283569119998,231.95218751430775,0.12,22.0,57.67355883520002,123.02226927764895,0.04,15.0,31.484099712,21.748258747099758,58.168513268400005,124.93624620417636,0.25,0.5,0.25
AIR.PA,AIR.PA,Industrial automation & robotics,Fwd EPS,175.62,138252992512.0,8.60147,20.4x,0.18,28.0,395.70973279711995,125.32156519594575,0.12,22.0,265.8578129715201,51.38242396738417,0.04,15.0,145.13225925120003,-17.36006192278783,268.13940449784,52.68158780198156,0.25,0.5,0.25
AIXA.DE,AIXA.DE,AI infrastructure & compute,Fwd EPS,59.32,6690457088.0,1.26807,46.8x,0.18,28.0,58.33742847072,-1.6563916542144286,0.12,22.0,39.19403507712001,-33.927789822791624,0.04,15.0,21.3960943872,-63.93106138368172,39.53039825304001,-33.36075817086984,0.25,0.5,0.25
ALAB,ALAB,AI infrastructure & compute,Fwd EPS,325.33,55764140032.0,4.20669,77.3x,0.18,28.0,193.52833595424,-40.5132216659269,0.12,22.0,130.02212450304003,-60.033773552073264,0.04,15.0,70.9793121024,-78.18236495177204,131.13797426568001,-59.690783430461366,0.25,0.5,0.25
ALFA.ST,ALFA.ST,Industrial automation & robotics,Fwd EPS,525.4,217161646080.0,21.94,23.9x,0.18,28.0,1009.34741824,92.110281355158,0.12,22.0,678.1306470400002,29.069403700038123,0.04,15.0,370.19274240000004,-29.54077990102778,683.9503636800001,30.177077213551605,0.25,0.5,0.25
ALGN,ALGN,Health Tech,Fwd EPS,162.88,11665161216.0,12.37801,13.2x,0.18,28.0,569.44906273696,249.61263674911586,0.12,22.0,382.58468233216007,134.8874523159136,0.04,15.0,208.8536676096,28.22548355206287,385.86802375272003,136.9032562332515,0.25,0.5,0.25
ALLE,ALLE,Industrial automation & robotics,Fwd EPS,131.22,11276504064.0,9.54483,13.7x,0.18,28.0,439.10891148767996,234.63565880786464,0.12,22.0,295.01557628928003,124.82516101911298,0.04,15.0,161.0495347968,22.732460598079562,297.54739971576,126.7546103610425,0.25,0.5,0.25
AMAT,AMAT,AI infrastructure & compute,Fwd EPS,448.25,355892297728.0,16.16968,27.7x,0.18,28.0,743.8844467532799,65.95302771963858,0.12,22.0,499.7791960268801,11.495637708171792,0.04,15.0,272.8303638528,-39.13433042882319,504.06830066496,12.452493176789737,0.25,0.5,0.25
AMD,AMD,AI infrastructure & compute,Fwd EPS,495.54,808027815936.0,12.95954,38.2x,0.18,28.0,596.2022899078399,20.313655791225727,0.12,22.0,400.5588534886402,-19.16720073280862,0.04,15.0,218.66580003840002,-55.87322919675506,403.9964492308801,-18.47349371778664,0.25,0.5,0.25
AME,AME,Industrial automation & robotics,Fwd EPS,226.38,51886977024.0,8.81134,25.7x,0.18,28.0,405.3647803206399,79.06386620754479,0.12,22.0,272.3445622374401,20.30416213333337,0.04,15.0,148.67338736640002,-34.32574106970579,274.68182304048,21.336612351126448,0.25,0.5,0.25
AMGN,AMGN,Health Tech,Fwd EPS,336.06,181374369792.0,23.4771,14.3x,0.18,28.0,1080.0615438815998,221.38949707837884,0.12,22.0,725.6399732736003,115.92571959578657,0.04,15.0,396.12816921600006,17.874239485806132,731.8674149112001,117.77879393893951,0.25,0.5,0.25
AMKR,AMKR,AI infrastructure & compute,Fwd EPS,72.19,17893916672.0,2.45195,29.4x,0.18,28.0,112.8017047472,56.25669032719214,0.12,22.0,75.78589061120003,4.981147819919696,0.04,15.0,41.37165427200001,-42.69060219975065,76.43628506040002,5.882095941820231,0.25,0.5,0.25
AMZN,AMZN,AI infrastructure & compute,Fwd EPS,271.85,2924320391168.0,9.85939,27.6x,0.18,28.0,453.58021157343995,66.84944328616513,0.12,22.0,304.7381276262401,12.097895025286022,0.04,15.0,166.3570930944,-38.805557073974626,307.35338998008,13.05991906569064,0.25,0.5,0.25
