ticker,price,mkt_cap,fwd_pe,trail_pe,fwd_eps,trail_eps,latest_q_rev,rev_yoy_pct,rev_qoq_pct,rev_growth_ttm,earnings_growth,gross_margin_pct,op_margin_pct,fcf,net_cash,total_debt,total_cash,analyst_target_mean,analyst_target_low,analyst_target_high,analyst_rec,num_analysts,sector,industry
MMM,146.22,76263563264,15.464474,28.17341,9.45522,5.19,6030000000.0,1.2764528048370805,-1.6794390999510855,0.013,-0.397,40.72968490878939,23.283582089552237,349000000.0,-7308999680,13127999488,5818999808,173.43471,120.0,230.0,buy,17,Industrials,Conglomerates
AOS,56.01,7719780864,13.401477,14.936,4.17939,3.75,945600000.0,-1.8985371926548367,3.627397260273968,-0.019,-0.105,38.673857868020306,17.11082910321489,118900000.0,-452999968,656899968,203900000,70.8,59.0,84.0,hold,10,Industrials,Specialty Industrial Machinery
ABB,,,,,,,,,,,,,,,0,0,0,,,,,0,,
ABT,84.47,147130957824,13.929864,23.661066,6.06395,3.57,11164000000.0,7.781424985518437,-2.5743956715245653,0.078,-0.197,56.198495163024006,12.047653170906484,916000000.0,-26841000448,34136000512,7295000064,118.64,92.0,143.0,buy,25,Healthcare,Medical Devices
IBE.MC,19.2,129750638592,17.956345,24.0,1.06926,0.8,12017600000.0,-45.62744948733683,17.671941093529696,-0.045,-0.186,53.49903474903475,21.563373718546135,,-54875000320,59747000320,4872000000,19.30909,14.5,22.0,hold,22,Utilities,Utilities - Diversified
ACMR,63.67,4216537600,28.255959,48.603054,2.25333,1.31,244430000.0,9.378845577278483,-9.187843661762518,0.342,-0.187,40.873460704496175,9.423965961625006,19517000.0,928107008,337060992,1265168000,73.97143,68.0,83.8,strong_buy,7,Technology,Semiconductor Equipment & Materials
ADBE,247.6,100079919104,9.383757,14.428905,26.38602,17.16,6398000000.0,11.970598529926502,3.293509848240239,0.12,0.111,89.62175679899968,37.79306033135355,2921000000.0,228999680,6670000128,6898999808,327.2847,220.0,487.0,hold,34,Technology,Software - Application
AMD,424.1,691537707008,32.73839,140.89702,12.95421,3.01,10270000000.0,34.10812222512405,11.075059485182791,0.378,0.912,54.30379746835443,17.05939629990263,2378000000.0,8475999744,3871000064,12346999808,457.83334,225.0,625.0,buy,48,Technology,Semiconductors
ADYEN,,,,,,,,,,,,,,,0,0,0,,,,,0,,
AEHR,99.5,3129598720,663.3333,,0.15,-0.38,10313000.0,-43.666357131152026,4.340348037231889,-0.437,,32.65781053039853,-41.006496654707654,-3763000.0,26886000,10025000,36911000,63.66667,56.0,68.0,none,3,Technology,Semiconductor Equipment & Materials
AFRM,65.82,22043023360,17.261229,59.83636,3.81317,1.1,1038765000.0,32.64205104107343,-7.502537799861086,0.326,35.293,65.92973386665896,19.46446020033405,325096000.0,-7321750400,9090749440,1768999040,82.96667,55.1,100.0,buy,27,Financial Services,Credit Services
A,111.7,31566675968,16.99565,24.603523,6.57227,4.54,1798000000.0,6.960142772159439,-3.3852767329392797,0.07,-0.036,52.61401557285873,19.632925472747498,175000000.0,-1792000128,3550000128,1758000000,160.6875,140.0,185.0,buy,16,Healthcare,Diagnostics & Research
ABNB,132.85,78847131648,21.977133,32.802467,6.04492,4.05,2678000000.0,17.869718309859152,-3.5997120230381596,0.179,0.06,78.30470500373413,3.2113517550410755,1708000000.0,9471000064,2534000128,12005000192,156.29167,115.0,181.0,buy,36,Consumer Cyclical,Travel Services
AIR.PA,167.68,132002398208,19.495474,26.447948,8.60097,6.34,12651000000.0,-6.579530350022155,-51.3123460591133,-0.066,-0.265,12.299422970516165,1.4781440202355545,-2498000000.0,1205999616,14570000384,15776000000,209.30739,170.0,255.0,buy,23,Industrials,Aerospace & Defense
EADSY,48.33,152186945536,20.538166,25.983871,2.35318,1.86,12651000000.0,-6.579530350022155,-51.3123460591133,-0.066,-0.265,12.299422970516165,1.4781440202355545,-2498000000.0,1205999616,14570000384,15776000000,58.5,51.0,75.0,none,4,Industrials,Aerospace & Defense
AIXA.DE,51.98,5862608896,41.617294,98.07548,1.249,0.53,59378000.0,-73.8121805247443,-68.25503750394286,-0.472,,18.119505540772675,-37.52568291286335,48516000.0,269903984,2770000,272673984,45.62667,23.5,55.3,hold,15,Technology,Semiconductor Equipment & Materials
ALFA.ST,537.6,222204215296,24.50319,27.178967,21.94,19.78,15919000000.0,-13.063186063022226,-16.8546954977541,-0.033,-0.046,38.80268861109366,17.09278220993781,708000000.0,-13966000128,18990000128,5024000000,546.41174,420.0,635.0,buy,17,Industrials,Specialty Industrial Machinery
BABA,132.59,318090084352,14.232401,20.46142,9.316067,6.48,284843000000.0,1.6737223098724163,14.95106842349523,0.029,1.005,40.48159863503755,7.077583089631832,36032000000.0,32712982528,284181004288,316893986816,190.85379,111.94575,257.10577,strong_buy,40,Consumer Cyclical,Internet Retail
ALGN,157.25,11261950976,12.711046,26.473064,12.37113,5.94,1047561000.0,5.2593449281012505,5.209341844666815,0.062,0.239,nan,nan,187261000.0,943789984,116044000,1059833984,209.07143,175.0,240.0,buy,14,Healthcare,Medical Instruments & Supplies
ALLE,125.65,10797841408,13.164194,17.141884,9.54483,7.33,1033600000.0,9.735640726191729,0.038714672861006605,0.097,-0.07,43.97252321981424,18.895123839009287,80300000.0,-1915499872,2224399872,308900000,165.91667,150.0,189.0,buy,12,Industrials,Security & Protection Services
AOSL,38.87,1163362688,-95.9753,,-0.405,-3.6,163792000.0,-0.5120417894129425,0.9422973814116498,-0.005,,21.081615707726872,-8.582836768584547,-20573000.0,161861992,29135000,190996992,36.66667,22.0,50.0,hold,3,Technology,Semiconductors
AMZN,264.14,2841383010304,26.751066,31.633533,9.874,8.35,181519000000.0,16.607244952366273,-14.933969426297878,0.166,0.748,51.81606333221316,13.140222235688825,-18171000000.0,-92451012608,235540004864,143088992256,311.55145,207.0,370.0,strong_buy,62,Consumer Cyclical,Internet Retail
AEP,125.15,68094746624,18.176563,18.513313,6.88524,6.76,6020000000.0,10.195863078894373,13.25795345512013,0.102,0.067,57.990033222591364,23.106312292358805,-2289000000.0,-51292002048,51808002048,516000000,145.0,133.0,173.0,buy,21,Utilities,Utilities - Regulated Electric
AWK,124.29,24271417344,18.901323,22.037235,6.57573,5.64,1207000000.0,5.6917688266199695,-5.03540519276161,0.057,-0.048,59.154929577464785,32.3943661971831,-394000000.0,-15525999680,15708999680,183000000,137.27274,124.0,155.0,hold,11,Utilities,Utilities - Regulated Water
AME,227.9,52235362304,25.864395,34.47806,8.81134,6.61,1928437000.0,11.343492471871652,-3.5032685363842297,0.113,0.145,37.20935659292992,26.70224643065861,426048000.0,-1974383936,2455633920,481249984,259.1579,217.0,280.0,buy,19,Industrials,Specialty Industrial Machinery
AMGN,326.31,176207396864,13.907789,22.723537,23.46239,14.36,8618000000.0,5.755307399680953,-12.649503344820602,0.058,0.044,68.1596658157345,30.935251798561154,1477000000.0,-45285000192,57322999808,12037999616,352.23334,200.0,427.0,buy,30,Healthcare,Drug Manufacturers - General
AMKR,70.35,17437831168,29.684044,40.431034,2.36996,1.74,1684701000.0,27.476760683275646,-10.770129541335328,0.275,2.856,14.188393073904509,5.952807055970169,-79518000.0,231016960,1617483008,1848499968,75.5,60.0,90.0,buy,8,Technology,Semiconductor Equipment & Materials
APH,125.0,153779306496,22.211916,36.023056,5.62761,3.47,7620100000.0,58.38910829349408,18.342910389812083,0.584,0.241,36.74754924476057,25.573155207936903,829900000.0,-14165799424,18748899328,4583099904,181.72221,135.0,215.0,strong_buy,18,Technology,Electronic Components
ADI,417.49,203820351488,31.515173,76.323586,13.24727,5.47,3160263000.0,30.418327367328967,2.735461622558577,0.304,1.167,64.70904478519668,33.06712131237179,1259202000.0,-4652233472,8701080576,4048847104,406.58066,295.0,510.0,buy,31,Technology,Semiconductors
ANGO,10.77,445004736,-48.954548,,-0.22,-0.76,78423000.0,8.914782512082663,-1.2715118401671832,0.089,,52.89137115387068,-8.197850120500364,-4125000.0,26416000,11394000,37810000,18.0,16.0,24.0,none,4,Healthcare,Medical Instruments & Supplies
APLD,42.56,12162352128,-60.800003,,-0.7,-0.38,126637000.0,139.2944199845052,0.03791798655490286,1.393,,42.487582618034224,-20.466372387217007,-720199000.0,-1097040128,2827480064,1730439936,53.1,40.0,97.0,strong_buy,10,Technology,Information Technology Services
AMAT,436.62,346505936896,27.439754,41.151745,15.91195,10.61,7012000000.0,-2.149037119732067,3.117647058823536,0.114,0.335,48.987450085567595,29.891614375356536,1040000000.0,1785999872,6455000064,8240999936,505.91428,355.0,575.0,strong_buy,35,Technology,Semiconductor Equipment & Materials
APP,501.0,168305704960,22.84923,43.489582,21.92634,11.52,1842449000.0,58.97241870827128,11.128542339186364,0.59,1.131,88.94775377771651,78.15320803995117,1291393000.0,-1091169024,3849840128,2758671104,644.4667,340.0,860.0,strong_buy,30,Communication Services,Advertising Agencies
ARGX.BR,693.2,43108564992,22.472254,36.104164,30.84693,19.2,1298000000.0,64.30379746835445,0.7860222676544515,0.626,1.14,90.67796610169492,30.354391371340522,,4392878912,47160000,4440038912,846.6773,600.0,991.0,strong_buy,15,Healthcare,Biotechnology
ANET,141.97,178764283904,31.93581,48.78694,4.44548,2.91,2709000000.0,35.125698324022345,8.891389983117604,0.351,0.25,61.89737910668143,42.7390180878553,1639000000.0,12353200128,0,12353200128,187.97969,164.0,220.0,strong_buy,27,Technology,Computer Hardware
ARM,209.16,222545952768,68.5054,243.2093,3.05319,0.86,1242000000.0,26.347914547304164,9.4273127753304,0.201,0.457,nan,nan,181000000.0,3168999936,432000000,3600999936,229.00056,125.0,326.0,buy,36,Technology,Semiconductors
ARQQ,13.34,208795808,-12.584907,,-1.06,-2.57,,,,,,,,,36259000,719000,36978000,60.0,60.0,60.0,none,1,Technology,Software - Infrastructure
ARRY,8.97,1379822720,9.916753,,0.90453,-0.84,226044000.0,-17.871468433903036,-42.55421343817266,-0.261,,8.551432464475942,-20.519456389021606,36164000.0,-562504016,763206016,200702000,10.22727,8.0,16.0,buy,22,Technology,Solar
ASM.AS,863.2,42198458368,31.983093,42.923916,26.98926,20.11,862500000.0,6.613102595797282,23.514248890161827,0.028,,53.321739130434786,32.255072463768116,-46600000.0,909600000,72000000,981600000,918.1,639.0,1095.0,buy,20,Technology,Semiconductor Equipment & Materials
ASML,1501.81,578824110080,31.597147,49.499344,47.529926,30.34,8766900000.0,13.245495059097067,-9.78792150729052,0.132,0.192,52.98338067047646,36.01957362351572,-2607900000.0,5670700032,2705600000,8376300032,1661.8711,899.7907,2001.6284,strong_buy,15,Technology,Semiconductor Equipment & Materials
ASTS,83.67,32474382336,-281.59393,,-0.29713,-1.8,54305000.0,2731.33472367049,268.4442635185562,19.522,,45.83739987109843,-133.09455851210754,-359163000.0,38182912,2991408128,3029591040,83.9,41.2,117.0,hold,8,Technology,Communication Equipment
ALAB,232.68,39883198464,55.71172,156.16107,4.1765,1.49,308361000.0,93.40010787621831,13.961704911247196,0.934,1.444,76.25510359610975,20.052146672244543,67012000.0,1142623984,41850000,1184473984,242.51474,153.3243,297.0,buy,22,Technology,Semiconductors
AZN,181.58,281603014656,30.758442,27.305264,5.90342,6.65,15288000000.0,12.511039152193115,-1.3868283558021055,0.125,0.053,82.48299319727892,27.773417059131344,1821000000.0,-26354000896,34029000704,7674999808,224.49,184.0,245.0,strong_buy,10,Healthcare,Drug Manufacturers - General
ATRO,78.59,2816693504,24.67504,64.41803,3.185,1.22,240067000.0,15.11796298072312,13.535306719887252,0.12,1.543,33.3119504138428,14.771709564413268,15810000.0,-367243016,379110016,11867000,88.376,54.88,107.0,buy,5,Industrials,Aerospace & Defense
T,24.03,166968590336,9.396152,7.9046054,2.55743,3.04,33466000000.0,3.6163229921357454,8.97782409065746,0.029,-0.113,55.722225542341484,18.293193091495848,4539000000.0,-147786995712,159750995968,11964000256,30.36957,25.0,36.0,buy,23,Communication Services,Telecom Services
ATCO-A.ST,172.85,843269603328,26.965681,32.248135,6.41,5.36,40540000000.0,-11.846568670087853,-5.2405217147398435,-0.051,-0.052,42.22496299950666,20.377405032067095,4236000000.0,-14644998144,35472998400,20828000256,195.14285,145.0,220.0,buy,21,Industrials,Specialty Industrial Machinery
TEAM,87.46,22194536448,14.055669,,6.2224,-0.82,1786971000.0,31.712974565052665,12.64919010410921,0.317,,85.29567631483667,-3.149687376012258,561264000.0,-106675968,1243017984,1136342016,143.50581,80.68,480.0,buy,31,Technology,Software - Application
ATO,176.48,29458010112,19.764147,21.73399,8.9293,8.12,1342585000.0,14.165488235959378,82.05036068774747,0.006,0.145,60.836073693658136,38.3412595850542,-725289000.0,-9503539152,9629233152,125694000,191.0,170.0,206.0,hold,11,Utilities,Utilities - Regulated Gas
ACLS,155.18,4769285632,33.47282,48.043343,4.636,3.23,238330000.0,-5.58084439637584,11.571969608306688,0.033,-0.659,46.96513237947384,15.177275206646247,-8902000.0,296096000,70504000,366600000,161.0,130.0,180.0,buy,3,Technology,Semiconductor Equipment & Materials
BANB.SW,75.35,5646392320,24.918646,38.055553,3.02384,1.98,,,,0.047,0.166,,,,-29284000,60272000,30988000,78.8,46.0,110.0,buy,10,Healthcare,Biotechnology
BAESY,98.54,72325824512,18.772314,26.777174,5.24922,3.68,,,,0.067,0.087,,,,-5690000128,9159000064,3468999936,135.765,131.53,140.0,none,2,Industrials,Aerospace & Defense
BA.L,1850.5,54328778752,19.641455,27.213234,0.94214,0.68,,,,0.067,0.087,,,,-5690000128,9159000064,3468999936,2314.167,1700.0,2662.0,buy,18,Industrials,Aerospace & Defense
BKR,64.12,63611445248,23.002197,20.485622,2.78756,3.13,6587000000.0,2.4894974327057673,-10.817763336041164,0.025,1.325,22.83285258843176,12.281767117048732,164000000.0,-229999616,16163999744,15934000128,70.80952,48.0,85.0,buy,21,Energy,Oil & Gas Equipment & Services
BAC,49.77,353197326336,9.870848,12.349875,5.04212,4.03,30272000000.0,7.168902892342555,-2.9121231558691507,0.081,0.244,,,41770000000.0,51383959552,799901024256,851284983808,62.97826,57.5,71.0,strong_buy,23,Financial Services,Banks - Diversified
B,40.61,68206055424,8.860486,11.218232,4.58327,3.62,5997000000.0,64.52674897119341,44.57569913211186,0.667,2.542,54.777388694347174,50.025012506253134,1619000000.0,2404999680,4726000128,7130999808,57.04133,31.0,66.0,buy,15,Basic Materials,Gold
BAX,17.3,8934913024,8.601744,,2.01122,-1.91,2701000000.0,2.8952380952381063,-9.17955615332885,0.029,,32.987782302850796,2.4435394298407997,76000000.0,-7670000128,9687000064,2016999936,22.11538,18.0,40.0,hold,13,Healthcare,Medical Instruments & Supplies
BESI.AS,261.8,20739866624,44.917675,137.06805,5.82844,1.91,166354000.0,6.248962125566848,12.32469733492685,0.283,0.635,nan,nan,41204000.0,92325024,519112992,611438016,245.68182,140.0,340.0,buy,22,Technology,Semiconductor Equipment & Materials
BEAM,27.93,2873416448,-5.798058,,-4.81713,-0.49,31738000.0,324.8728246318608,-72.18624297820504,3.249,,,-337.81271661730415,-130745000.0,960829968,250822000,1211651968,51.06667,26.0,80.0,strong_buy,15,Healthcare,Biotechnology
BRK-B,482.7,1041113350144,22.65454,14.366073,21.30699,33.6,92070000000.0,-9.2620333504159,-17.38303332675293,0.044,1.196,,14.793092212447052,5452000000.0,268497010688,128885997568,397383008256,520.3333,481.0,570.0,buy,3,Financial Services,Insurance - Diversified
TECH,43.3,6779426816,20.976345,61.857143,2.06423,0.7,295877000.0,-0.38851163683252254,3.253127671825662,-0.015,1.286,nan,nan,76490000.0,-76207984,290321984,214114000,61.41667,49.0,75.0,buy,12,Healthcare,Biotechnology
BIIB,192.95,28486582272,11.62776,20.74731,16.59391,9.3,2477800000.0,1.9251336898395754,8.704044924102838,0.019,0.311,73.32310920978287,18.556784244087495,559300000.0,-2279200000,6561900032,4282700032,219.26965,150.0,300.0,buy,29,Healthcare,Drug Manufacturers - General
BNTX,89.55,22645786624,-16.474527,,-5.4356647,-5.94,118100000.0,-35.393873085339166,-86.9847917125854,-0.354,,39.542760372565624,-573.666384419983,-499900000.0,13403800448,302800000,13706600448,125.539055,75.72575,156.73181,buy,17,Healthcare,Biotechnology
BLK,1081.9,167947649024,17.83603,27.245028,60.65812,39.71,7008000000.0,23.44548176853971,7.666308188661852,0.27,0.459,nan,nan,2147000000.0,-1820000256,14965000192,13144999936,1254.125,1140.0,1393.0,none,16,Financial Services,Asset Management
BKSY,38.75,1437974656,-71.100914,,-0.545,-2.49,35214000.0,15.949950609153763,79.498419818534,-0.297,,72.62168455727836,-11.80212415516556,-13572000.0,-95383992,210904992,115521000,40.5,34.0,50.0,strong_buy,7,Industrials,Specialty Business Services
BE,275.95,78492286976,65.76847,,4.19578,-0.03,751054000.0,130.36982280282555,-3.4241458280559023,1.304,,30.030330708577544,9.611825514543561,47428000.0,-461384960,2952817920,2491432960,237.38333,55.0,335.0,buy,24,Industrials,Electrical Equipment & Parts
BA,220.49,173812793344,51.97564,86.80709,4.24218,2.54,22217000000.0,13.956709068526884,-7.228161015533652,0.14,,11.459693027861547,2.0074717558626274,-1454000000.0,-29436000256,49614000128,20177999872,269.84,230.0,300.0,buy,25,Industrials,Aerospace & Defense
BKNG,154.13,119432019968,12.52677,20.333775,12.30405,7.58,5532000000.0,16.169676606467863,-12.868168215467001,0.162,2.4,,22.975415762834416,3108000000.0,-3151998976,19175999488,16024000512,224.40572,175.0,298.0,buy,35,Consumer Cyclical,Travel Services
BSX,52.68,78301192192,13.995824,22.04184,3.76398,2.39,5203000000.0,11.580527557366494,-1.5701853953840383,0.116,1.0,69.44070728425909,20.6034979819335,171000000.0,-9576000256,11029000192,1452999936,85.1875,60.0,110.0,strong_buy,32,Healthcare,Medical Devices
BP,44.35,114201124864,10.844581,35.76613,4.0896,1.24,52255000000.0,11.406033471911314,10.282168710296947,0.116,4.745,24.16802219883265,15.231078365706633,-382000000.0,-38415003648,74178002944,35762999296,49.53529,31.0,62.0,buy,17,Energy,Oil & Gas Integrated
