ticker,current_price,median_price,p10,p90,prob_50pct_up,prob_30pct_down,mean_price,std_price
CRUS,173.59,279.7092950788092,227.37819749865494,334.62233386423975,67.30000000000001,0.0,280.67752316923224,40.919055648425875
DIOD,109.13,149.2447787520931,121.05034611870241,178.48637635152213,25.869999999999997,0.0,149.4580971884202,21.856813336641466
MU,928.41,3119.833254697507,2533.321243376419,3725.852207214638,100.0,0.0,3128.857673510805,456.915122057129
NVDA,212.6,378.37482896020333,306.426080774176,451.7743641554072,85.14,0.0,378.8013651638746,55.06111643025605
PLAB,53.51,70.34369478759115,57.350753587295856,84.43837745675451,18.27,0.0,70.6746211816517,10.264626678272792
SMCI,38.19,96.15970931616025,78.37757201248517,114.73128665203426,99.99,0.0,96.51784345571785,13.944349874816197
TSM,422.73,583.9905422437754,475.2892268162649,697.9199620936179,28.62,0.0,585.3830544547139,84.55197770885037
GEN,24.6,98.13134882563594,79.63907064396038,117.38881670878234,100.0,0.0,98.37680077758463,14.287583443760957
PATH,11.16,26.77780024338746,21.81863856801402,32.052415694755325,99.91,0.0,26.8542922326682,3.929792300082801
WDAY,124.5,377.59410949619155,306.15110718352054,449.5613498460999,100.0,0.0,377.71939401066555,54.979930561583
EOG,134.3,435.650773703115,357.1202522586429,521.5923837195462,100.0,0.0,437.98683454898884,62.75421397785634
FSLR,273.67,701.1083157438211,569.9289615381124,839.9227393037585,100.0,0.0,702.820527917237,102.17240572469375
MPC,247.05,670.3835899626564,547.3261414855173,804.6626380759137,100.0,0.0,673.2895214210678,97.92675720562451
NDX1.DE,41.18,68.99429234837031,56.2314810924701,82.77408015213771,75.77000000000001,0.0,69.32422898997133,10.103320704106894
PSX,174.63,493.5115922917115,401.0026576732596,590.5600019957362,100.0,0.0,495.133776540758,72.28828328724181
VLO,240.34,596.7824606661436,485.7532802401175,715.7315267675101,100.0,0.0,599.7771705346698,87.44642817007292
VWS.CO,176.2,323.0034384517045,261.7053351755194,386.5562393983987,88.81,0.0,323.982096649944,47.21211102823244
CI,285.75,998.6924567169597,815.5502819683504,1192.7361936088341,100.0,0.0,1001.6440007555548,144.2629499253311
CVS,92.07,249.97529661578088,202.64481572142634,299.10294695853395,100.0,0.0,250.67218008989877,36.45480838413339
PFE,26.21,84.93586083380475,69.09078446652092,101.39836753431857,100.0,0.0,85.15568021401398,12.30804008680779
REGN,627.74,1608.610664456719,1308.5241548800436,1920.8646638692117,100.0,0.0,1611.955425253379,233.3511339462316
B,41.25,139.76128814609052,113.41776733365671,166.54494421968565,100.0,0.0,140.01893356187455,20.17329017028592
TXT,92.32,217.77045574186482,178.27410123218115,261.1994163349027,99.91,0.0,218.95719833458,31.68847740941421
ZBH,82.56,268.6198722585028,218.74349655902898,320.23814449606175,100.0,0.0,269.13152484938433,38.74267709203902
QUBT,11.42,0.8140038255483091,0.5833871275506396,1.1129996035692642,0.0,100.0,0.8324277695923021,0.20398535888492547
IRDM,51.39,40.146352116401744,32.5166861843675,47.920998981574414,0.0,25.25,40.147580564554744,5.880140856821962
MDA.TO,64.1,48.802801309818776,39.77255979642732,58.575828288552756,0.0,29.720000000000002,48.99814912418958,7.123115088304855
SPIR,25.48,47.57340612353359,38.64822527494849,56.92247246537404,91.17,0.0,47.71445026171387,6.936820840744112
STM,67.75,66.83821469794229,54.23405943069807,79.68510010123381,0.0,1.44,66.94423579045683,9.687982006590653
AVIO.MI,43.4,8.278447043776577,6.753328399997203,9.841790406293114,0.0,100.0,8.300976917065995,1.1848549579982088
KTOS,57.3,32.02051390714294,26.052529514555335,38.373380989485696,0.0,94.93,32.13928657827798,4.670288756956804
VST,160.15,327.35295947738643,265.007755276078,392.5260674787653,97.03,0.0,328.05432598289804,48.352249482690674
QBTS,27.48,1.439112204179783,1.0249659023685684,1.9537097379208974,0.0,100.0,1.4699735890395125,0.360027162140987
IONQ,65.4,21.284052762915678,15.187076206328737,29.244607771660483,0.0,100.0,21.833341724479972,5.426689805761479
GFS,81.11,74.98801989786134,60.793827516493714,89.55901865380348,0.0,4.2,75.09419769484778,10.932707847293953
AVGO,421.86,546.452115003927,445.4759535973973,654.1940123804818,14.99,0.0,548.9095949677644,79.56894365544099
TENB,24.45,64.94230805553914,52.77729758688186,77.47401170970225,100.0,0.0,65.1223876739621,9.402817878208607
INFQ,15.46,6.552227364577451,4.706372562632095,8.889572950461131,0.0,98.76,6.698160465006618,1.627229673487776
QRVO,103.91,233.52045070613516,190.05355539596627,279.68371720433703,99.63,0.0,234.35628178730587,33.93155390289731
MRVL,198.7,165.52659228185257,134.38589698095709,197.59144550798777,0.0,13.98,165.83416236996925,23.992486857217866
