ticker,growth_rate,wacc,implied_price,upside_pct
GMAB.CO,0.075,0.1,1816.69,7.9
GMAB.CO,0.075,0.11,1597.67,-5.1
GMAB.CO,0.075,0.12,1424.93,-15.4
GMAB.CO,0.10999999999999999,0.08,2889.67,71.6
GMAB.CO,0.10999999999999999,0.09,2431.19,44.4
GMAB.CO,0.10999999999999999,0.1,2095.4,24.4
GMAB.CO,0.10999999999999999,0.11,1839.0,9.2
GMAB.CO,0.10999999999999999,0.12,1636.88,-2.8
GMAB.CO,0.145,0.08,3335.43,98.1
GMAB.CO,0.145,0.09,2800.7,66.3
GMAB.CO,0.145,0.1,2409.24,43.1
GMAB.CO,0.145,0.11,2110.47,25.3
GMAB.CO,0.145,0.12,1875.08,11.3
GMAB.CO,0.18,0.08,3836.69,127.8
GMAB.CO,0.18,0.09,3215.84,91.0
GMAB.CO,0.18,0.1,2761.53,64.0
GMAB.CO,0.18,0.11,2414.93,43.4
GMAB.CO,0.18,0.12,2142.0,27.2
CHKP,0.04,0.08,227.48,83.4
CHKP,0.04,0.09,192.27,55.0
CHKP,0.04,0.1,166.46,34.2
CHKP,0.04,0.11,146.72,18.3
CHKP,0.04,0.12,131.14,5.7
CHKP,0.075,0.08,264.48,113.2
CHKP,0.075,0.09,223.01,79.8
CHKP,0.075,0.1,192.61,55.3
CHKP,0.075,0.11,169.39,36.6
CHKP,0.075,0.12,151.08,21.8
CHKP,0.10999999999999999,0.08,306.37,147.0
CHKP,0.10999999999999999,0.09,257.76,107.8
CHKP,0.10999999999999999,0.1,222.16,79.1
CHKP,0.10999999999999999,0.11,194.98,57.2
CHKP,0.10999999999999999,0.12,173.55,39.9
CHKP,0.145,0.08,353.64,185.1
CHKP,0.145,0.09,296.94,139.4
CHKP,0.145,0.1,255.44,105.9
CHKP,0.145,0.11,223.76,80.4
CHKP,0.145,0.12,198.8,60.3
CHKP,0.18,0.08,406.78,228.0
CHKP,0.18,0.09,340.96,174.9
CHKP,0.18,0.1,292.79,136.1
CHKP,0.18,0.11,256.04,106.4
CHKP,0.18,0.12,227.1,83.1
MPC,0.04,0.08,437.13,71.4
MPC,0.04,0.09,369.47,44.9
MPC,0.04,0.1,319.86,25.4
MPC,0.04,0.11,281.94,10.6
MPC,0.04,0.12,252.01,-1.2
MPC,0.075,0.08,508.24,99.3
MPC,0.075,0.09,428.53,68.0
MPC,0.075,0.1,370.13,45.1
MPC,0.075,0.11,325.51,27.6
MPC,0.075,0.12,290.31,13.8
MPC,0.10999999999999999,0.08,588.74,130.8
MPC,0.10999999999999999,0.09,495.33,94.2
MPC,0.10999999999999999,0.1,426.91,67.4
MPC,0.10999999999999999,0.11,374.67,46.9
MPC,0.10999999999999999,0.12,333.5,30.8
MPC,0.145,0.08,679.56,166.5
MPC,0.145,0.09,570.61,123.7
MPC,0.145,0.1,490.86,92.5
MPC,0.145,0.11,429.98,68.6
MPC,0.145,0.12,382.03,49.8
MPC,0.18,0.08,781.68,206.5
MPC,0.18,0.09,655.19,156.9
MPC,0.18,0.1,562.63,120.6
MPC,0.18,0.11,492.01,92.9
MPC,0.18,0.12,436.41,71.1
PSX,0.04,0.08,314.46,78.5
PSX,0.04,0.09,265.79,50.8
PSX,0.04,0.1,230.1,30.6
PSX,0.04,0.11,202.82,15.1
PSX,0.04,0.12,181.29,2.9
PSX,0.075,0.08,365.61,107.5
PSX,0.075,0.09,308.28,75.0
PSX,0.075,0.1,266.26,51.1
PSX,0.075,0.11,234.16,32.9
PSX,0.075,0.12,208.84,18.5
PSX,0.10999999999999999,0.08,423.52,140.4
PSX,0.10999999999999999,0.09,356.33,102.2
PSX,0.10999999999999999,0.1,307.11,74.3
PSX,0.10999999999999999,0.11,269.53,53.0
PSX,0.10999999999999999,0.12,239.91,36.2
PSX,0.145,0.08,488.86,177.4
PSX,0.145,0.09,410.48,133.0
PSX,0.145,0.1,353.11,100.4
PSX,0.145,0.11,309.32,75.6
PSX,0.145,0.12,274.82,56.0
PSX,0.18,0.08,562.32,219.1
PSX,0.18,0.09,471.33,167.5
PSX,0.18,0.1,404.74,129.7
PSX,0.18,0.11,353.94,100.9
PSX,0.18,0.12,313.94,78.2
EOG,0.04,0.08,286.77,104.5
EOG,0.04,0.09,242.38,72.8
EOG,0.04,0.1,209.84,49.6
EOG,0.04,0.11,184.96,31.9
EOG,0.04,0.12,165.33,17.9
EOG,0.075,0.08,333.42,137.7
EOG,0.075,0.09,281.13,100.4
EOG,0.075,0.1,242.82,73.1
EOG,0.075,0.11,213.54,52.2
EOG,0.075,0.12,190.45,35.8
EOG,0.10999999999999999,0.08,386.23,175.4
EOG,0.10999999999999999,0.09,324.95,131.7
EOG,0.10999999999999999,0.1,280.07,99.7
EOG,0.10999999999999999,0.11,245.8,75.2
EOG,0.10999999999999999,0.12,218.78,56.0
EOG,0.145,0.08,445.81,217.8
EOG,0.145,0.09,374.34,166.9
EOG,0.145,0.1,322.02,129.6
EOG,0.145,0.11,282.08,101.1
EOG,0.145,0.12,250.62,78.7
EOG,0.18,0.08,512.8,265.6
EOG,0.18,0.09,429.82,206.4
EOG,0.18,0.1,369.1,163.2
EOG,0.18,0.11,322.78,130.1
EOG,0.18,0.12,286.3,104.1
VST,0.04,0.08,224.64,60.8
VST,0.04,0.09,189.87,35.9
VST,0.04,0.1,164.37,17.7
VST,0.04,0.11,144.89,3.7
VST,0.04,0.12,129.5,-7.3
VST,0.075,0.08,261.18,87.0
VST,0.075,0.09,220.22,57.7
VST,0.075,0.1,190.2,36.2
VST,0.075,0.11,167.27,19.8
VST,0.075,0.12,149.19,6.8
VST,0.10999999999999999,0.08,302.54,116.6
VST,0.10999999999999999,0.09,254.54,82.2
VST,0.10999999999999999,0.1,219.39,57.1
VST,0.10999999999999999,0.11,192.54,37.8
VST,0.10999999999999999,0.12,171.38,22.7
VST,0.145,0.08,349.22,150.0
VST,0.145,0.09,293.23,109.9
VST,0.145,0.1,252.24,80.6
VST,0.145,0.11,220.96,58.2
VST,0.145,0.12,196.32,40.5
VST,0.18,0.08,401.7,187.6
VST,0.18,0.09,336.69,141.0
VST,0.18,0.1,289.13,107.0
VST,0.18,0.11,252.84,81.0
VST,0.18,0.12,224.26,60.6
GEN,0.04,0.08,65.47,179.2
GEN,0.04,0.09,55.33,136.0
GEN,0.04,0.1,47.9,104.3
GEN,0.04,0.11,42.22,80.1
GEN,0.04,0.12,37.74,60.9
GEN,0.075,0.08,76.12,224.6
GEN,0.075,0.09,64.18,173.7
GEN,0.075,0.1,55.43,136.4
GEN,0.075,0.11,48.75,107.9
GEN,0.075,0.12,43.48,85.4
GEN,0.10999999999999999,0.08,88.17,276.0
GEN,0.10999999999999999,0.09,74.18,216.3
GEN,0.10999999999999999,0.1,63.94,172.6
GEN,0.10999999999999999,0.11,56.11,139.3
GEN,0.10999999999999999,0.12,49.95,113.0
GEN,0.145,0.08,101.77,334.0
GEN,0.145,0.09,85.46,264.4
GEN,0.145,0.1,73.51,213.5
GEN,0.145,0.11,64.4,174.6
GEN,0.145,0.12,57.21,144.0
GEN,0.18,0.08,117.07,399.2
GEN,0.18,0.09,98.12,318.4
GEN,0.18,0.1,84.26,259.3
GEN,0.18,0.11,73.69,214.2
GEN,0.18,0.12,65.36,178.7
VLO,0.04,0.08,371.25,48.1
VLO,0.04,0.09,313.79,25.1
VLO,0.04,0.1,271.66,8.3
VLO,0.04,0.11,239.45,-4.5
VLO,0.04,0.12,214.03,-14.6
VLO,0.075,0.08,431.64,72.1
VLO,0.075,0.09,363.95,45.1
VLO,0.075,0.1,314.34,25.4
VLO,0.075,0.11,276.45,10.3
VLO,0.075,0.12,246.56,-1.7
VLO,0.10999999999999999,0.08,500.0,99.4
VLO,0.10999999999999999,0.09,420.67,67.8
VLO,0.10999999999999999,0.1,362.57,44.6
VLO,0.10999999999999999,0.11,318.2,26.9
VLO,0.10999999999999999,0.12,283.23,13.0
VLO,0.145,0.08,577.14,130.2
VLO,0.145,0.09,484.61,93.3
VLO,0.145,0.1,416.88,66.3
VLO,0.145,0.11,365.18,45.6
VLO,0.145,0.12,324.45,29.4
VLO,0.18,0.08,663.87,164.8
VLO,0.18,0.09,556.44,121.9
VLO,0.18,0.1,477.83,90.6
VLO,0.18,0.11,417.86,66.7
VLO,0.18,0.12,370.63,47.8
LNG,0.04,0.08,383.49,58.6
LNG,0.04,0.09,324.13,34.0
LNG,0.04,0.1,280.61,16.0
LNG,0.04,0.11,247.34,2.3
LNG,0.04,0.12,221.08,-8.6
LNG,0.075,0.08,445.86,84.4
LNG,0.075,0.09,375.94,55.4
LNG,0.075,0.1,324.7,34.3
LNG,0.075,0.11,285.56,18.1
LNG,0.075,0.12,254.68,5.3
LNG,0.10999999999999999,0.08,516.48,113.6
LNG,0.10999999999999999,0.09,434.54,79.7
LNG,0.10999999999999999,0.1,374.52,54.9
LNG,0.10999999999999999,0.11,328.69,35.9
LNG,0.10999999999999999,0.12,292.57,21.0
LNG,0.145,0.08,596.15,146.5
LNG,0.145,0.09,500.58,107.0
LNG,0.145,0.1,430.61,78.1
LNG,0.145,0.11,377.21,56.0
LNG,0.145,0.12,335.14,38.6
LNG,0.18,0.08,685.75,183.6
LNG,0.18,0.09,574.78,137.7
LNG,0.18,0.1,493.58,104.1
LNG,0.18,0.11,431.63,78.5
LNG,0.18,0.12,382.85,58.3
TXT,0.04,0.08,145.31,63.7
TXT,0.04,0.09,122.82,38.4
TXT,0.04,0.1,106.33,19.8
TXT,0.04,0.11,93.72,5.6
TXT,0.04,0.12,83.77,-5.6
TXT,0.075,0.08,168.94,90.3
TXT,0.075,0.09,142.45,60.5
TXT,0.075,0.1,123.04,38.6
TXT,0.075,0.11,108.2,21.9
TXT,0.075,0.12,96.5,8.7
TXT,0.10999999999999999,0.08,195.7,120.5
TXT,0.10999999999999999,0.09,164.65,85.5
TXT,0.10999999999999999,0.1,141.91,59.9
TXT,0.10999999999999999,0.11,124.55,40.3
TXT,0.10999999999999999,0.12,110.86,24.9
TXT,0.145,0.08,225.89,154.5
TXT,0.145,0.09,189.68,113.7
TXT,0.145,0.1,163.17,83.8
TXT,0.145,0.11,142.93,61.0
TXT,0.145,0.12,126.99,43.1
TXT,0.18,0.08,259.84,192.7
TXT,0.18,0.09,217.79,145.3
TXT,0.18,0.1,187.02,110.7
TXT,0.18,0.11,163.55,84.2
TXT,0.18,0.12,145.07,63.4
ZBH,0.04,0.08,178.98,113.8
ZBH,0.04,0.09,151.28,80.7
ZBH,0.04,0.1,130.97,56.5
ZBH,0.04,0.11,115.44,37.9
ZBH,0.04,0.12,103.18,23.3
ZBH,0.075,0.08,208.09,148.6
ZBH,0.075,0.09,175.46,109.6
ZBH,0.075,0.1,151.55,81.1
ZBH,0.075,0.11,133.28,59.2
ZBH,0.075,0.12,118.87,42.0
ZBH,0.10999999999999999,0.08,241.05,188.0
ZBH,0.10999999999999999,0.09,202.81,142.3
ZBH,0.10999999999999999,0.1,174.8,108.8
ZBH,0.10999999999999999,0.11,153.41,83.3
ZBH,0.10999999999999999,0.12,136.55,63.1
ZBH,0.145,0.08,278.24,232.4
ZBH,0.145,0.09,233.63,179.1
ZBH,0.145,0.1,200.98,140.1
ZBH,0.145,0.11,176.05,110.3
ZBH,0.145,0.12,156.42,86.9
ZBH,0.18,0.08,320.05,282.4
ZBH,0.18,0.09,268.26,220.5
ZBH,0.18,0.1,230.36,175.2
ZBH,0.18,0.11,201.45,140.7
ZBH,0.18,0.12,178.68,113.5
IONQ,0.1,0.08,1.65,-96.8
IONQ,0.1,0.09,1.57,-97.0
IONQ,0.1,0.1,1.5,-97.1
IONQ,0.1,0.11,1.44,-97.2
IONQ,0.1,0.12,1.37,-97.4
IONQ,0.1875,0.08,2.42,-95.3
IONQ,0.1875,0.09,2.31,-95.6
IONQ,0.1875,0.1,2.21,-95.8
IONQ,0.1875,0.11,2.11,-95.9
IONQ,0.1875,0.12,2.02,-96.1
IONQ,0.275,0.08,3.45,-93.4
IONQ,0.275,0.09,3.29,-93.7
IONQ,0.275,0.1,3.15,-93.9
IONQ,0.275,0.11,3.01,-94.2
IONQ,0.275,0.12,2.88,-94.5
IONQ,0.36249999999999993,0.08,4.81,-90.7
IONQ,0.36249999999999993,0.09,4.59,-91.2
IONQ,0.36249999999999993,0.1,4.38,-91.6
IONQ,0.36249999999999993,0.11,4.19,-91.9
IONQ,0.36249999999999993,0.12,4.01,-92.3
IONQ,0.44999999999999996,0.08,6.56,-87.4
IONQ,0.44999999999999996,0.09,6.27,-87.9
IONQ,0.44999999999999996,0.1,5.99,-88.5
IONQ,0.44999999999999996,0.11,5.72,-89.0
IONQ,0.44999999999999996,0.12,5.47,-89.5
TSM,0.04,0.08,383.97,-5.0
TSM,0.04,0.09,324.53,-19.7
TSM,0.04,0.1,280.96,-30.5
TSM,0.04,0.11,247.65,-38.8
TSM,0.04,0.12,221.36,-45.3
TSM,0.075,0.08,446.42,10.4
TSM,0.075,0.09,376.41,-6.9
TSM,0.075,0.1,325.11,-19.6
TSM,0.075,0.11,285.92,-29.3
TSM,0.075,0.12,255.0,-36.9
TSM,0.10999999999999999,0.08,517.13,27.9
TSM,0.10999999999999999,0.09,435.08,7.6
TSM,0.10999999999999999,0.1,374.99,-7.3
TSM,0.10999999999999999,0.11,329.1,-18.6
TSM,0.10999999999999999,0.12,292.93,-27.6
TSM,0.145,0.08,596.9,47.6
TSM,0.145,0.09,501.21,24.0
TSM,0.145,0.1,431.15,6.6
TSM,0.145,0.11,377.68,-6.6
TSM,0.145,0.12,335.56,-17.0
TSM,0.18,0.08,686.6,69.8
TSM,0.18,0.09,575.5,42.3
TSM,0.18,0.1,494.2,22.2
TSM,0.18,0.11,432.17,6.9
TSM,0.18,0.12,383.33,-5.2
FANG,0.04,0.08,337.62,65.9
FANG,0.04,0.09,285.36,40.2
FANG,0.04,0.1,247.05,21.4
FANG,0.04,0.11,217.76,7.0
FANG,0.04,0.12,194.64,-4.4
FANG,0.075,0.08,392.53,92.8
FANG,0.075,0.09,330.97,62.6
FANG,0.075,0.1,285.87,40.4
FANG,0.075,0.11,251.4,23.5
FANG,0.075,0.12,224.22,10.2
FANG,0.10999999999999999,0.08,454.71,123.4
FANG,0.10999999999999999,0.09,382.56,87.9
FANG,0.10999999999999999,0.1,329.73,62.0
FANG,0.10999999999999999,0.11,289.38,42.2
FANG,0.10999999999999999,0.12,257.57,26.5
FANG,0.145,0.08,524.85,157.8
FANG,0.145,0.09,440.71,116.5
FANG,0.145,0.1,379.11,86.2
FANG,0.145,0.11,332.1,63.1
FANG,0.145,0.12,295.06,44.9
FANG,0.18,0.08,603.73,196.6
FANG,0.18,0.09,506.03,148.6
FANG,0.18,0.1,434.54,113.5
FANG,0.18,0.11,380.0,86.7
FANG,0.18,0.12,337.06,65.6
NVDA,0.04,0.08,227.47,1.0
NVDA,0.04,0.09,192.26,-14.7
NVDA,0.04,0.1,166.44,-26.1
NVDA,0.04,0.11,146.71,-34.9
NVDA,0.04,0.12,131.14,-41.8
NVDA,0.075,0.08,264.47,17.4
NVDA,0.075,0.09,222.99,-1.0
NVDA,0.075,0.1,192.6,-14.5
NVDA,0.075,0.11,169.38,-24.8
NVDA,0.075,0.12,151.07,-33.0
NVDA,0.10999999999999999,0.08,306.35,36.0
NVDA,0.10999999999999999,0.09,257.75,14.4
NVDA,0.10999999999999999,0.1,222.15,-1.4
NVDA,0.10999999999999999,0.11,194.96,-13.5
NVDA,0.10999999999999999,0.12,173.54,-23.0
NVDA,0.145,0.08,353.61,56.9
NVDA,0.145,0.09,296.92,31.8
NVDA,0.145,0.1,255.42,13.4
NVDA,0.145,0.11,223.75,-0.7
NVDA,0.145,0.12,198.79,-11.8
NVDA,0.18,0.08,406.75,80.5
NVDA,0.18,0.09,340.93,51.3
NVDA,0.18,0.1,292.77,29.9
NVDA,0.18,0.11,256.02,13.6
NVDA,0.18,0.12,227.09,0.8
QRVO,0.04,0.08,155.67,68.7
QRVO,0.04,0.09,131.58,42.6
QRVO,0.04,0.1,113.91,23.5
QRVO,0.04,0.11,100.4,8.8
QRVO,0.04,0.12,89.75,-2.7
QRVO,0.075,0.08,180.99,96.2
QRVO,0.075,0.09,152.61,65.4
QRVO,0.075,0.1,131.81,42.9
QRVO,0.075,0.11,115.92,25.7
QRVO,0.075,0.12,103.39,12.1
QRVO,0.10999999999999999,0.08,209.66,127.3
QRVO,0.10999999999999999,0.09,176.39,91.2
QRVO,0.10999999999999999,0.1,152.03,64.8
QRVO,0.10999999999999999,0.11,133.43,44.6
QRVO,0.10999999999999999,0.12,118.76,28.7
QRVO,0.145,0.08,242.0,162.3
QRVO,0.145,0.09,203.2,120.3
QRVO,0.145,0.1,174.8,89.5
QRVO,0.145,0.11,153.12,66.0
QRVO,0.145,0.12,136.05,47.5
QRVO,0.18,0.08,278.37,201.8
QRVO,0.18,0.09,233.32,152.9
QRVO,0.18,0.1,200.36,117.2
QRVO,0.18,0.11,175.21,89.9
QRVO,0.18,0.12,155.41,68.5
PATH,0.04,0.08,17.91,74.4
PATH,0.04,0.09,15.14,47.4
PATH,0.04,0.1,13.1,27.6
PATH,0.04,0.11,11.55,12.5
PATH,0.04,0.12,10.32,0.5
PATH,0.075,0.08,20.82,102.8
PATH,0.075,0.09,17.56,71.0
PATH,0.075,0.1,15.16,47.7
PATH,0.075,0.11,13.34,29.9
PATH,0.075,0.12,11.89,15.8
PATH,0.10999999999999999,0.08,24.12,134.9
PATH,0.10999999999999999,0.09,20.29,97.6
PATH,0.10999999999999999,0.1,17.49,70.3
PATH,0.10999999999999999,0.11,15.35,49.5
PATH,0.10999999999999999,0.12,13.66,33.0
PATH,0.145,0.08,27.84,171.1
PATH,0.145,0.09,23.38,127.6
PATH,0.145,0.1,20.11,95.8
PATH,0.145,0.11,17.62,71.5
PATH,0.145,0.12,15.65,52.4
PATH,0.18,0.08,32.03,211.8
PATH,0.18,0.09,26.84,161.4
PATH,0.18,0.1,23.05,124.5
PATH,0.18,0.11,20.16,96.3
PATH,0.18,0.12,17.88,74.1
AVGO,0.04,0.08,364.01,-14.4
AVGO,0.04,0.09,307.67,-27.6
AVGO,0.04,0.1,266.36,-37.4
AVGO,0.04,0.11,234.78,-44.8
AVGO,0.04,0.12,209.86,-50.6
AVGO,0.075,0.08,423.22,-0.5
AVGO,0.075,0.09,356.85,-16.1
AVGO,0.075,0.1,308.22,-27.5
AVGO,0.075,0.11,271.06,-36.2
AVGO,0.075,0.12,241.75,-43.1
AVGO,0.10999999999999999,0.08,490.26,15.3
AVGO,0.10999999999999999,0.09,412.47,-3.0
AVGO,0.10999999999999999,0.1,355.5,-16.4
AVGO,0.10999999999999999,0.11,312.0,-26.6
AVGO,0.10999999999999999,0.12,277.71,-34.7
AVGO,0.145,0.08,565.89,33.1
AVGO,0.145,0.09,475.16,11.8
AVGO,0.145,0.1,408.75,-3.9
AVGO,0.145,0.11,358.06,-15.8
AVGO,0.145,0.12,318.12,-25.2
AVGO,0.18,0.08,650.93,53.1
AVGO,0.18,0.09,545.6,28.3
AVGO,0.18,0.1,468.52,10.2
AVGO,0.18,0.11,409.71,-3.6
AVGO,0.18,0.12,363.41,-14.5
