ticker,year,revenue,net_income,free_cash_flow,gross_margin_pct,operating_margin_pct,total_debt,stockholders_equity,roe_pct,as_of
CRUS,2026,1997379000.0,414408000.0,635762000.0,52.77776526137503,23.04920598444261,133977000.0,2127996000.0,19.47,2026-05-28T08:25:23Z
CRUS,2025,1896077000.0,331507000.0,415613000.0,52.53151638883864,21.642528230657298,143719000.0,1949449000.0,17.01,2026-05-28T08:25:23Z
CRUS,2024,1788890000.0,274572000.0,383329000.0,51.20896198201119,19.30946005623599,155216000.0,1817014000.0,15.11,2026-05-28T08:25:23Z
CRUS,2023,1897617000.0,176703000.0,302854000.0,50.43056633662114,18.2029882742408,141073000.0,1658282000.0,10.66,2026-05-28T08:25:23Z
CRUS,2022,,,,,,,,,2026-05-28T08:25:23Z
DIOD,2025,1482073000.0,66141000.0,137151000.0,31.2019718326965,2.457908618536334,95609000.0,1878124000.0,3.52,2026-05-28T08:25:23Z
DIOD,2024,1311120000.0,44024000.0,46411000.0,33.24348648483739,3.9203124046616633,91702000.0,1795301000.0,2.45,2026-05-28T08:25:23Z
DIOD,2023,1661739000.0,227182000.0,130145000.0,39.60802508697214,15.051039904581886,98358000.0,1740741000.0,13.05,2026-05-28T08:25:23Z
DIOD,2022,2000580000.0,331283000.0,180773000.0,41.3498585410231,20.221235841605935,213674000.0,1513645000.0,21.89,2026-05-28T08:25:23Z
DIOD,2021,,,,,,,,,2026-05-28T08:25:23Z
MU,2025,37378000000.0,8539000000.0,1668000000.0,39.79078602386431,26.242709615281715,15278000000.0,54165000000.0,15.76,2026-05-28T08:25:24Z
MU,2024,25111000000.0,778000000.0,121000000.0,22.352753773246786,5.196925650113496,14007000000.0,45131000000.0,1.72,2026-05-28T08:25:24Z
MU,2023,15540000000.0,-5833000000.0,-6117000000.0,-9.111969111969112,-34.78120978120978,13933000000.0,44120000000.0,-13.22,2026-05-28T08:25:24Z
MU,2022,30758000000.0,8687000000.0,3114000000.0,45.184992522270626,31.56577150659991,7516000000.0,49907000000.0,17.41,2026-05-28T08:25:24Z
MU,2021,,,,,,,,,2026-05-28T08:25:24Z
NVDA,2026,215938000000.0,120067000000.0,96676000000.0,71.06808435754708,60.38168363141272,11040000000.0,157293000000.0,76.33,2026-05-28T08:25:25Z
NVDA,2025,130497000000.0,72880000000.0,60853000000.0,74.98869705816992,62.417526839697466,9982000000.0,79327000000.0,91.87,2026-05-28T08:25:25Z
NVDA,2024,60922000000.0,29760000000.0,27021000000.0,72.71757329043695,54.121663766783755,11056000000.0,42978000000.0,69.24,2026-05-28T08:25:25Z
NVDA,2023,26974000000.0,4368000000.0,3808000000.0,56.928894490991325,20.6754652628457,12031000000.0,22101000000.0,19.76,2026-05-28T08:25:25Z
NVDA,2022,,,,,,,,,2026-05-28T08:25:25Z
PLAB,2025,849294000.0,136405000.0,59567000.0,35.30344026921184,24.50988703558485,5959000.0,1173589000.0,11.62,2026-05-28T08:25:26Z
PLAB,2024,866946000.0,130688000.0,130413000.0,36.443561652052146,25.551533774883325,22959000.0,1120864000.0,11.66,2026-05-28T08:25:26Z
PLAB,2023,892076000.0,125485000.0,170764000.0,37.68311220120259,28.366417211089637,30749000.0,975008000.0,12.87,2026-05-28T08:25:26Z
PLAB,2022,824549000.0,118786000.0,162644000.0,35.681687807516596,25.694773749043417,43688000.0,831527000.0,14.29,2026-05-28T08:25:26Z
PLAB,2021,,,,,,,,,2026-05-28T08:25:26Z
SMCI,2025,21972042000.0,1048854000.0,1532310000.0,11.059154174200104,5.702674334957124,4778842000.0,6301693000.0,16.64,2026-05-28T08:25:27Z
SMCI,2024,14989251000.0,1152666000.0,-2610251000.0,13.752588438208154,8.077615085637035,2183393000.0,5417206000.0,21.28,2026-05-28T08:25:27Z
SMCI,2023,7123482000.0,639998000.0,626787000.0,18.011023260815428,10.6849711980742,290302000.0,1972005000.0,32.45,2026-05-28T08:25:27Z
SMCI,2022,5196099000.0,285163000.0,-485983000.0,15.396184714725413,6.450358239902665,596764000.0,1425575000.0,20.0,2026-05-28T08:25:27Z
TSM,2025,3809054300000.0,1697604000000.0,992378400000.0,59.891348884157416,50.82877395578215,1064582700000.0,5355038700000.0,31.7,2026-05-28T08:25:27Z
TSM,2024,2894307700000.0,1158380200000.0,861195500000.0,56.1223535424378,45.67596942094305,1047042100000.0,4244266500000.0,27.29,2026-05-28T08:25:27Z
TSM,2023,2161735800000.0,851740000000.0,286568900000.0,54.359584552376845,42.62453811423209,956257900000.0,3429522400000.0,24.84,2026-05-28T08:25:27Z
TSM,2022,2263891300000.0,992923400000.0,520972800000.0,59.55916699710803,49.526516577894,888174400000.0,2903019700000.0,34.2,2026-05-28T08:25:27Z
TSM,2021,,,,,,,,,2026-05-28T08:25:27Z
GEN,2026,5000000000.0,973000000.0,1523000000.0,78.46,43.1,8260000000.0,2611000000.0,37.27,2026-05-28T08:25:28Z
GEN,2025,3935000000.0,643000000.0,1206000000.0,80.27954256670903,41.16899618805591,8315000000.0,2269000000.0,28.34,2026-05-28T08:25:28Z
GEN,2024,3800000000.0,607000000.0,2044000000.0,80.76315789473684,30.710526315789473,8655000000.0,2140000000.0,28.36,2026-05-28T08:25:28Z
GEN,2023,3317000000.0,1334000000.0,751000000.0,82.24299065420561,38.43834790473319,9819000000.0,2200000000.0,60.64,2026-05-28T08:25:28Z
GEN,2022,,,,,,,,,2026-05-28T08:25:28Z
PATH,2026,1610572000.0,282330000.0,352160000.0,83.17467334586718,3.52421375759668,81246000.0,2082587000.0,13.56,2026-05-28T08:25:29Z
PATH,2025,1429664000.0,-73694000.0,305642000.0,82.72727018376345,-11.371133357208407,77817000.0,1845762000.0,-3.99,2026-05-28T08:25:29Z
PATH,2024,1308072000.0,-89883000.0,291740000.0,85.02192539860191,-12.592579001767486,67070000.0,2016114000.0,-4.46,2026-05-28T08:25:29Z
PATH,2023,1058581000.0,-328352000.0,-33796000.0,82.9912873932179,-32.90093058537797,63439000.0,1920158000.0,-17.1,2026-05-28T08:25:29Z
PATH,2022,,,,,,,,,2026-05-28T08:25:29Z
WDAY,2026,9552000000.0,693000000.0,2777000000.0,75.70142378559464,10.720268006700168,3821000000.0,7805000000.0,8.88,2026-05-28T08:25:30Z
WDAY,2025,8446000000.0,526000000.0,2189000000.0,75.50319677954062,5.908122188017996,3362000000.0,9034000000.0,5.82,2026-05-28T08:25:30Z
WDAY,2024,7259000000.0,1381000000.0,1907000000.0,75.60270009643202,2.5210084033613445,3296000000.0,8082000000.0,17.09,2026-05-28T08:25:30Z
WDAY,2023,6216000000.0,-367000000.0,1292000000.0,72.49034749034749,-2.9279279279279278,3249000000.0,5585000000.0,-6.57,2026-05-28T08:25:30Z
FSLR,2025,5219376000.0,1528229000.0,1187230000.0,40.62437732020073,30.594921691788443,655335000.0,9537993000.0,16.02,2026-05-28T08:25:31Z
