ticker,short_name,currency,exchange,quote_type,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,profit_margins,revenue_growth,earnings_growth,last_close_5d,fifty_two_week_high,fifty_two_week_low,cik,sec_edgar_url,sec_company_search_url,regulatory_lookup_url,data_source
HXL,Hexcel Corporation,USD,NYQ,EQUITY,Industrials,Aerospace & Defense,6686620160.0,7630619648.0,58.70861,27.865004,5.278986,0.0607,0.099,0.4,88.650002,98.26,50.54,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HXL,,yfinance (indicative)
HIK.L,HIKMA PHARMACEUTICALS PLC ORD S,GBp,LSE,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,3086951168.0,4543539712.0,10.746268,7.758338,1.628969,0.12004,0.085,0.235,1440.0,2164.0,1187.0,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HIK.L,https://www.google.com/search?q=HIK%20site%3Alondonstockexchange.com,yfinance (indicative)
HLT,Hilton Worldwide Holdings Inc.,USD,NYQ,EQUITY,Consumer Cyclical,Lodging,71975583744.0,84507582464.0,48.34404,30.356451,-12.225273,0.30408,0.11,0.35,316.170013,344.75,241.45,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HLT,,yfinance (indicative)
HOLX,"Hologic, Inc.",USD,NMS,EQUITY,Healthcare,Medical Instruments & Supplies,16968846336.0,17122545664.0,31.53942,15.664253,3.232543,0.13178,0.025,-0.092,,76.07,51.9,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HOLX,,yfinance (indicative)
HON,Honeywell International Inc.,USD,NMS,EQUITY,Industrials,Conglomerates,135120191488.0,161558183936.0,34.00957,18.609245,9.942649,0.1089,0.024,-0.419,213.240005,248.18,186.76,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HON,,yfinance (indicative)
HUBS,"HubSpot, Inc.",USD,NYQ,EQUITY,Technology,Software - Application,10155212800.0,8716814336.0,104.41053,12.710687,5.161576,0.0304,0.234,,198.380005,654.332,173.25,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HUBS,,yfinance (indicative)
HUM,Humana Inc.,USD,NYQ,EQUITY,Healthcare,Healthcare Plans,36633165824.0,29105164288.0,32.5635,19.890352,2.083868,0.00824,0.235,-0.046,305.119995,315.35,163.11,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HUM,,yfinance (indicative)
HII,"Huntington Ingalls Industries, ",USD,NYQ,EQUITY,Industrials,Aerospace & Defense,12852412416.0,15567412224.0,21.17987,15.952115,2.49541,0.04709,0.134,0.0,326.170013,460.0,215.05,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=HII,,yfinance (indicative)
ICHR,Ichor Holdings,USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,2546155264.0,2615731200.0,,28.042068,3.800311,-0.05284,0.047,,73.269997,78.0,13.12,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ICHR,,yfinance (indicative)
IEX,IDEX Corporation,USD,NYQ,EQUITY,Industrials,Specialty Industrial Machinery,15372187648.0,16683886592.0,30.768888,22.50943,3.810406,0.14382,0.089,0.278,207.690002,223.85,157.25,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IEX,,yfinance (indicative)
ITW,Illinois Tool Works Inc.,USD,NYQ,EQUITY,Industrials,Specialty Industrial Machinery,71257530368.0,79579537408.0,22.997213,20.34936,22.163757,0.19321,0.046,0.118,247.679993,303.16,238.82,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ITW,,yfinance (indicative)
ILMN,"Illumina, Inc.",USD,NMS,EQUITY,Healthcare,Diagnostics & Research,21566300160.0,22955302912.0,25.916363,24.03722,8.149799,0.19417,0.048,0.061,142.539993,155.53,78.55,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ILMN,,yfinance (indicative)
IMI.L,IMI PLC ORD 28 4/7P,GBp,LSE,EQUITY,Industrials,Specialty Industrial Machinery,6345800192.0,7036083712.0,21.338709,17.373604,5.866962,0.13451,0.091,0.649,2646.0,2938.0,1858.0,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IMI.L,https://www.google.com/search?q=IMI%20site%3Alondonstockexchange.com,yfinance (indicative)
IMO,Imperial Oil Limited,USD,ASE,EQUITY,Energy,Oil & Gas Integrated,66992873472.0,68341444608.0,31.259861,18.101065,3.939933,0.0623,-0.004,-0.23,134.729996,135.04,70.29,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IMO,,yfinance (indicative)
PI,"Impinj, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,4225297920.0,4358528000.0,,49.207542,20.037556,-0.0766,-0.0,,138.720001,247.064,87.36,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=PI,,yfinance (indicative)
INDI,"indie Semiconductor, Inc.",USD,NCM,EQUITY,Technology,Semiconductors,885299200.0,1166126208.0,,29.196571,2.699742,-0.69346,0.026,,4.19,6.05,2.29,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=INDI,,yfinance (indicative)
IFX.DE,INFINEON TECHNOLOGIES AG      N,EUR,GER,EQUITY,Technology,Semiconductors,84714381312.0,90855383040.0,79.5,25.37603,5.044104,0.07234,,,65.190002,68.48,30.82,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IFX.DE,https://www.google.com/search?q=IFX.DE%20investor%20relations%20annual%20report,yfinance (indicative)
IR,Ingersoll Rand Inc.,USD,NYQ,EQUITY,Industrials,Specialty Industrial Machinery,27530545152.0,31254845440.0,47.533783,18.29173,2.705353,0.07544,0.076,0.065,70.349998,100.96,70.23,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IR,,yfinance (indicative)
INOD,Innodata Inc.,USD,NGM,EQUITY,Technology,Information Technology Services,3138179840.0,3024829952.0,85.803566,47.90628,29.006943,0.13864,0.544,0.909,96.099998,114.77,33.77,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=INOD,,yfinance (indicative)
PODD,Insulet Corporation,USD,NMS,EQUITY,Healthcare,Medical Devices,10213769216.0,10747368448.0,34.53396,18.298124,6.850321,0.10438,0.339,1.59,147.460007,354.88,145.59,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=PODD,,yfinance (indicative)
INTC,Intel Corporation,USD,NMS,EQUITY,Technology,Semiconductors,546677981184.0,572515024896.0,,70.89088,4.753102,-0.05904,0.072,,108.769997,132.75,18.97,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=INTC,,yfinance (indicative)
NTLA,"Intellia Therapeutics, Inc.",USD,NGM,EQUITY,Healthcare,Biotechnology,1910003456.0,1614507520.0,,-7.150143,2.651794,0.0,-0.095,,13.67,28.25,6.83,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=NTLA,,yfinance (indicative)
ICE,Intercontinental Exchange Inc.,USD,NYQ,EQUITY,Financial Services,Financial Data & Stock Exchanges,87292510208.0,107498512384.0,22.468704,17.56856,2.963845,0.37671,0.204,0.797,154.360001,189.35,143.17,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ICE,,yfinance (indicative)
IBM,International Business Machines,USD,NYQ,EQUITY,Technology,Information Technology Services,206116847616.0,264216838144.0,19.424269,16.3003,6.250891,0.15606,0.095,0.142,219.300003,324.9,212.34,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IBM,,yfinance (indicative)
INTU,Intuit Inc.,USD,NMS,EQUITY,Technology,Software - Application,109361717248.0,112597147648.0,25.56929,14.839367,5.723106,0.2157,0.174,0.485,393.0,813.7,342.11,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=INTU,,yfinance (indicative)
LUNR,"Intuitive Machines, Inc.",USD,NGM,EQUITY,Industrials,Aerospace & Defense,5421107200.0,6726729728.0,,-322.7619,-5.444177,-0.32694,1.987,,33.889999,37.849,7.78,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LUNR,,yfinance (indicative)
ISRG,"Intuitive Surgical, Inc.",USD,NMS,EQUITY,Healthcare,Medical Instruments & Supplies,149145059328.0,144750460928.0,51.293545,35.720707,8.540775,0.28152,0.23,0.188,421.119995,603.88,417.74,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ISRG,,yfinance (indicative)
IONQ,"IonQ, Inc.",USD,NYQ,EQUITY,Technology,Computer Hardware,19391373312.0,17402079232.0,133.20514,-49.836437,4.957534,1.74881,7.547,,51.950001,84.64,25.89,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IONQ,,yfinance (indicative)
IQE.L,IQE PLC ORD 1P,GBp,LSE,EQUITY,Technology,Semiconductor Equipment & Materials,450745888.0,515428896.0,,-40.28021,4.220184,-0.50523,-0.315,,46.0,72.9,4.655,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IQE.L,https://www.google.com/search?q=IQE%20site%3Alondonstockexchange.com,yfinance (indicative)
IREN,IREN LIMITED,USD,NMS,EQUITY,Financial Services,Capital Markets,18919626752.0,20671266816.0,68.75325,-39.36059,6.994319,0.20877,-0.0,,52.939999,76.87,8.11,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IREN,,yfinance (indicative)
IRDM,Iridium Communications Inc,USD,NMS,EQUITY,Communication Services,Telecom Services,4400388608.0,6077699584.0,42.0404,31.0597,9.395034,0.12052,0.019,-0.259,41.619999,44.61,15.65,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IRDM,,yfinance (indicative)
ITT,ITT Inc.,USD,NYQ,EQUITY,Industrials,Specialty Industrial Machinery,17480134656.0,20766457856.0,34.376328,21.15639,4.092075,0.10799,0.327,-0.331,194.570007,225.26,145.41,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ITT,,yfinance (indicative)
JBL,Jabil Inc.,USD,NYQ,EQUITY,Technology,Electronic Components,35851902976.0,38463901696.0,45.85965,23.3302,26.755373,0.02477,0.231,0.962,339.820007,372.37,161.52,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=JBL,,yfinance (indicative)
JD,"JD.com, Inc.",USD,NMS,EQUITY,Consumer Cyclical,Internet Retail,43229503488.0,57934774272.0,23.536764,7.397186,1.375984,0.01046,0.049,-0.507,32.009998,36.86,24.508,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=JD,,yfinance (indicative)
JNJ,Johnson & Johnson,USD,NYQ,EQUITY,Healthcare,Drug Manufacturers - General,545740161024.0,578676129792.0,26.239584,17.83708,6.72032,0.21834,0.099,-0.529,226.710007,251.71,149.04,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=JNJ,,yfinance (indicative)
JCI,Johnson Controls International ,USD,NYQ,EQUITY,Industrials,Building Products & Equipment,87295336448.0,96145342464.0,43.621952,25.163694,6.457844,0.14452,0.082,0.389,143.080002,147.32,96.01,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=JCI,,yfinance (indicative)
JPM,JP Morgan Chase & Co.,USD,NYQ,EQUITY,Financial Services,Banks - Diversified,797985275904.0,556889276416.0,14.262932,12.65393,2.319772,0.33936,0.127,0.172,297.809998,337.25,256.0,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=JPM,,yfinance (indicative)
KMI,"Kinder Morgan, Inc.",USD,NYQ,EQUITY,Energy,Oil & Gas Midstream,74820894720.0,108210888704.0,22.57047,22.002684,2.388664,0.18917,0.138,0.36,33.630001,34.73,25.6,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KMI,,yfinance (indicative)
KION.DE,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KION.DE,https://www.google.com/search?q=KION.DE%20investor%20relations%20annual%20report,yfinance (indicative)
KLAC,KLA Corporation,USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,235693834240.0,236881264640.0,51.027145,36.224842,43.2919,0.35662,0.115,0.118,1804.319946,1939.36,740.44,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KLAC,,yfinance (indicative)
KNEBV.HE,KONE Corporation,EUR,HEL,EQUITY,Industrials,Specialty Industrial Machinery,26432466944.0,26122780672.0,26.984127,20.589672,12.570865,0.08684,0.013,0.0,51.0,70.0,49.83,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KNEBV.HE,,yfinance (indicative)
KTOS,Kratos Defense & Security Solut,USD,NMS,EQUITY,Industrials,Aerospace & Defense,9767915520.0,8489015808.0,306.41177,47.700153,4.406565,0.02077,0.226,1.306,52.09,134.0,34.06,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KTOS,,yfinance (indicative)
KLIC,"Kulicke and Soffa Industries, I",USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,5340046848.0,4891969024.0,99.06796,24.084953,6.226507,0.07164,0.498,,102.040001,107.01,31.21,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KLIC,,yfinance (indicative)
KULR,"KULR Technology Group, Inc.",USD,ASE,EQUITY,Technology,Electronic Components,166525792.0,165128336.0,,,1.36312,0.0,0.979,,3.6,10.56,1.94,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KULR,,yfinance (indicative)
LHX,"L3Harris Technologies, Inc.",USD,NYQ,EQUITY,Industrials,Aerospace & Defense,56520024064.0,74145800192.0,32.90564,22.217731,2.95181,0.10369,1.9,-0.061,303.390015,379.23,229.1,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LHX,,yfinance (indicative)
LH,Labcorp Holdings Inc.,USD,NYQ,EQUITY,Healthcare,Diagnostics & Research,20532799488.0,26862999552.0,22.178919,12.88136,2.387855,0.06656,0.058,0.329,250.399994,293.72,239.75,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LH,,yfinance (indicative)
LRCX,Lam Research Corporation,USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,356062593024.0,355046129664.0,53.720753,35.98157,33.638943,0.30939,0.238,0.408,284.720001,302.0,79.49,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LRCX,,yfinance (indicative)
LSCC,Lattice Semiconductor Corporati,USD,NMS,EQUITY,Technology,Semiconductors,16456013824.0,16355957760.0,857.9286,51.968678,22.205584,0.03463,0.422,3.372,120.110001,130.0,43.9,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LSCC,,yfinance (indicative)
